waveform,[0],PXI1Slot7/ai0
t0,12/31/1903  19:00:00.000000,12/14/2017  03:38:55.524437
delta t,5.000000E-7,5.000000E-7

time,Y[0],PXI1Slot7/ai0
12/31/1903  19:00:00.000158,-9.999926E-2,-1.414965E-2
12/31/1903  19:00:00.000159,-7.008371E-2,-1.192782E-2
12/31/1903  19:00:00.000159,1.383042E-3,-1.117678E-2
12/31/1903  19:00:00.000160,7.203090E-2,-1.139583E-2
12/31/1903  19:00:00.000160,9.997148E-2,-1.236593E-2
12/31/1903  19:00:00.000161,6.863542E-2,-1.283533E-2
12/31/1903  19:00:00.000161,-3.399334E-3,-1.271015E-2
12/31/1903  19:00:00.000162,-7.341945E-2,-1.239722E-2
12/31/1903  19:00:00.000162,-9.990243E-2,-1.230334E-2
12/31/1903  19:00:00.000163,-6.714076E-2,-1.242851E-2
12/31/1903  19:00:00.000163,5.439338E-3,-1.267886E-2
12/31/1903  19:00:00.000164,7.479464E-2,-1.271015E-2
12/31/1903  19:00:00.000164,9.979061E-2,-1.308567E-2
12/31/1903  19:00:00.000165,6.559932E-2,-1.255369E-2
12/31/1903  19:00:00.000165,-7.502137E-3,-1.177135E-2
12/31/1903  19:00:00.000166,-7.615474E-2,-1.227205E-2
12/31/1903  19:00:00.000166,-9.963452E-2,-1.342990E-2
12/31/1903  19:00:00.000167,-6.401070E-2,-1.299179E-2
12/31/1903  19:00:00.000167,9.586747E-3,-1.321085E-2
12/31/1903  19:00:00.000168,7.749798E-2,-1.227205E-2
12/31/1903  19:00:00.000168,9.943267E-2,-1.220946E-2
12/31/1903  19:00:00.000169,6.237459E-2,-1.258498E-2
12/31/1903  19:00:00.000169,-1.169212E-2,-1.283533E-2
12/31/1903  19:00:00.000170,-7.882256E-2,-1.271015E-2
12/31/1903  19:00:00.000170,-9.918357E-2,-1.233463E-2
12/31/1903  19:00:00.000171,-6.069071E-2,-1.239722E-2
12/31/1903  19:00:00.000171,1.381715E-2,-1.258498E-2
12/31/1903  19:00:00.000172,8.012663E-2,-1.271015E-2
12/31/1903  19:00:00.000172,9.888573E-2,-1.252239E-2
12/31/1903  19:00:00.000173,5.895883E-2,-1.242851E-2
12/31/1903  19:00:00.000173,-1.596064E-2,-1.164618E-2
12/31/1903  19:00:00.000174,-8.140831E-2,-1.211558E-2
12/31/1903  19:00:00.000174,-9.853768E-2,-1.377413E-2
12/31/1903  19:00:00.000175,-5.717880E-2,-1.421223E-2
12/31/1903  19:00:00.000175,1.812135E-2,-1.427482E-2
12/31/1903  19:00:00.000176,8.266565E-2,-1.283533E-2
12/31/1903  19:00:00.000176,9.813798E-2,-1.267886E-2
12/31/1903  19:00:00.000177,5.535049E-2,-1.286662E-2
12/31/1903  19:00:00.000177,-2.029796E-2,-1.336731E-2
12/31/1903  19:00:00.000178,-8.389670E-2,-1.299179E-2
12/31/1903  19:00:00.000178,-9.768516E-2,-1.299179E-2
12/31/1903  19:00:00.000179,-5.347388E-2,-1.299179E-2
12/31/1903  19:00:00.000179,2.248907E-2,-1.230334E-2
12/31/1903  19:00:00.000180,8.509945E-2,-1.211558E-2
12/31/1903  19:00:00.000180,9.717783E-2,-1.236593E-2
12/31/1903  19:00:00.000181,5.154898E-2,-1.324214E-2
12/31/1903  19:00:00.000181,-2.469322E-2,-1.302309E-2
12/31/1903  19:00:00.000182,-8.627185E-2,-1.305438E-2
12/31/1903  19:00:00.000182,-9.661457E-2,-1.242851E-2
12/31/1903  19:00:00.000183,-4.957588E-2,-1.208429E-2
12/31/1903  19:00:00.000183,2.690888E-2,-1.267886E-2
